Year,Player,Salary,Position,Team
1993,Jay Howell,1000000,Pitcher,Atlanta Braves
1993,Deion Sanders,1000000,Outfielder,Atlanta Braves
1993,Damon Berryhill,975000,Catcher,Atlanta Braves
1993,Greg Olson,925000,Catcher,Atlanta Braves
1993,Mike Stanton,850000,Pitcher,Atlanta Braves
1993,Rafael Belliard,800000,Shortstop,Atlanta Braves
1993,Marvin Freeman,725000,Pitcher,Atlanta Braves
1993,Kent Mercker,712500,Pitcher,Atlanta Braves
1993,Bill Pecota,675000,Third Baseman,Atlanta Braves
1993,Steve Avery,560000,Pitcher,Atlanta Braves
1993,Mark Lemke,550000,Second Baseman,Atlanta Braves
1993,Steve Bedrosian,500000,Pitcher,Atlanta Braves
1993,Jerry Willard,225000,Catcher,Atlanta Braves
1993,Brian R. Hunter,205000,First Baseman,Atlanta Braves
1993,Francisco Cabrera,181500,First Baseman,Atlanta Braves
1993,Keith Mitchell,114000,Outfielder,Atlanta Braves
1993,Ramon Caraballo,109000,Second Baseman,Atlanta Braves
1993,Greg McMichael,109000,Pitcher,Atlanta Braves
1993,Teddy Higuera,3250000,Pitcher,Milwaukee Brewers
1993,Robin Yount,2700000,Outfielder,Milwaukee Brewers
1993,B.J. Surhoff,2500000,Third Baseman,Milwaukee Brewers
1993,Bill Wegman,2375000,Pitcher,Milwaukee Brewers
1993,Jaime Navarro,2100000,Pitcher,Milwaukee Brewers
1993,Greg Vaughn,1640000,Outfielder,Milwaukee Brewers
1993,Bill Doran,1333334,Second Baseman,Milwaukee Brewers
1993,Tom Brunansky,1100000,Outfielder,Milwaukee Brewers
1993,Darryl Hamilton,1000000,Outfielder,Milwaukee Brewers
1993,Bill Spiers,750000,Second Baseman,Milwaukee Brewers
1993,Kevin Reimer,725000,Outfielder,Milwaukee Brewers
1993,Jesse Orosco,700000,Pitcher,Milwaukee Brewers
1993,Pat Listach,350000,Shortstop,Milwaukee Brewers
1993,Dickie Thon,250000,Shortstop,Milwaukee Brewers
1993,Mike Fetters,235000,Pitcher,Milwaukee Brewers
1993,Doug Henry,212500,Pitcher,Milwaukee Brewers
1993,Cal Eldred,175000,Pitcher,Milwaukee Brewers
1993,Ricky Bones,170000,Pitcher,Milwaukee Brewers
1993,Jim Austin,150000,Pitcher,Milwaukee Brewers
1993,Tim McIntosh,120000,Catcher,Milwaukee Brewers
1993,Dave Nilsson,120000,Catcher,Milwaukee Brewers
1993,John Jaha,118000,First Baseman,Milwaukee Brewers
1993,Alex Diaz,110000,Outfielder,Milwaukee Brewers
1993,Carlos Maldonado,110000,Pitcher,Milwaukee Brewers
1993,William Suero,110000,Second Baseman,Milwaukee Brewers
1993,Mark Kiefer,109000,Pitcher,Milwaukee Brewers
1993,Joe Kmak,109000,Catcher,Milwaukee Brewers
1993,Graeme Lloyd,109000,Pitcher,Milwaukee Brewers
1993,Josias Manzanillo,109000,Pitcher,Milwaukee Brewers
1993,Angel Miranda,109000,Pitcher,Milwaukee Brewers
1993,Ozzie Smith,3000000,Shortstop,St. Louis Cardinals
1993,Lee Smith,2666667,Pitcher,St. Louis Cardinals
1993,Gregg Jefferies,2650000,First Baseman,St. Louis Cardinals
1993,Bob Tewksbury,2625000,Pitcher,St. Louis Cardinals
1993,Tom Pagnozzi,2575000,Catcher,St. Louis Cardinals
1993,Jose Oquendo,2050000,Shortstop,St. Louis Cardinals
1993,Todd Zeile,1025000,Third Baseman,St. Louis Cardinals
1993,Gerald Perry,966667,First Baseman,St. Louis Cardinals
1993,Joe Magrane,738000,Pitcher,St. Louis Cardinals
1993,Brian Jordan,706667,Outfielder,St. Louis Cardinals
1993,Rob Murphy,600000,Pitcher,St. Louis Cardinals
1993,Mark Whiten,508333,Outfielder,St. Louis Cardinals
1993,Les Lancaster,350000,Pitcher,St. Louis Cardinals
1993,Ray Lankford,290000,Outfielder,St. Louis Cardinals
1993,Hector Villanueva,225000,Catcher,St. Louis Cardinals
1993,Omar Olivares,190000,Pitcher,St. Louis Cardinals
1993,Bernard Gilkey,175000,Outfielder,St. Louis Cardinals
1993,Geronimo Pena,170000,Shortstop,St. Louis Cardinals
1993,Luis Alicea,160000,Second Baseman,St. Louis Cardinals
1993,Mike Perez,150000,Pitcher,St. Louis Cardinals
1993,Tracy Woodson,150000,Third Baseman,St. Louis Cardinals
1993,Rheal Cormier,145000,Pitcher,St. Louis Cardinals
1993,Donovan Osborne,140000,Pitcher,St. Louis Cardinals
1993,Rod Brewer,125000,First Baseman,St. Louis Cardinals
1993,Ozzie Canseco,125000,Outfielder,St. Louis Cardinals
1993,Rene Arocha,109000,Pitcher,St. Louis Cardinals
1993,Ryne Sandberg,5975000,Second Baseman,Chicago Cubs
1993,Randy Myers,3583333,Pitcher,Chicago Cubs
1993,Jose Guzman,3500000,Pitcher,Chicago Cubs
1993,Shawon Dunston,3375000,Shortstop,Chicago Cubs
1993,Mike Morgan,3375000,Pitcher,Chicago Cubs
1993,Mark Grace,3100000,First Baseman,Chicago Cubs
1993,Steve Buechele,2900000,Third Baseman,Chicago Cubs
1993,Paul Assenmacher,2583333,Pitcher,Chicago Cubs
1993,Candy Maldonado,1650000,Outfielder,Chicago Cubs
1993,Dan Plesac,1600000,Pitcher,Chicago Cubs
1993,Greg Hibbard,1375000,Pitcher,Chicago Cubs
1993,Willie Wilson,700000,Outfielder,Chicago Cubs
1993,Sammy Sosa,695000,Outfielder,Chicago Cubs
1993,Dwight Smith,630000,Outfielder,Chicago Cubs
1993,Chuck McElroy,312500,Pitcher,Chicago Cubs
1993,Mike Harkey,275000,Pitcher,Chicago Cubs
1993,Steve Lake,275000,Catcher,Chicago Cubs
1993,Frank Castillo,250000,Pitcher,Chicago Cubs
1993,Dave Smith,250000,Pitcher,Chicago Cubs
1993,Bob Scanlan,245000,Pitcher,Chicago Cubs
1993,Jose Vizcaino,235000,Shortstop,Chicago Cubs
1993,Eric Yelding,225000,Second Baseman,Chicago Cubs
1993,Derrick May,212500,Outfielder,Chicago Cubs
1993,Rick Wilkins,212500,Catcher,Chicago Cubs
1993,Shawn Boskie,210000,Pitcher,Chicago Cubs
1993,Rey Sanchez,180000,Shortstop,Chicago Cubs
1993,Jose J. Bautista,140000,Pitcher,Chicago Cubs
1993,Tommy Shields,130000,Third Baseman,Chicago Cubs
1993,Matt Walbeck,109000,Catcher,Chicago Cubs
1993,Darryl Strawberry,3800000,Outfielder,Los Angeles Dodgers
1993,Tom Candiotti,3650000,Pitcher,Los Angeles Dodgers
1993,Tim Wallach,3362500,Third Baseman,Los Angeles Dodgers
1993,Brett Butler,3333334,Outfielder,Los Angeles Dodgers
1993,Orel Hershiser,3333333,Pitcher,Los Angeles Dodgers
1993,Jody Reed,2500000,Second Baseman,Los Angeles Dodgers
1993,Todd Worrell,2416666,Pitcher,Los Angeles Dodgers
1993,Kevin Gross,1966667,Pitcher,Los Angeles Dodgers
1993,Jim Gott,1800000,Pitcher,Los Angeles Dodgers
1993,Ramon J. Martinez,1775000,Pitcher,Los Angeles Dodgers
1993,Cory Snyder,1500000,Outfielder,Los Angeles Dodgers
1993,Roger McDowell,1350000,Pitcher,Los Angeles Dodgers
1993,Eric Davis,1000000,Outfielder,Los Angeles Dodgers
1993,Mike Sharperson,970000,Second Baseman,Los Angeles Dodgers
1993,Lenny Harris,900000,Third Baseman,Los Angeles Dodgers
1993,Mitch Webster,600000,Outfielder,Los Angeles Dodgers
1993,Kevin Elster,500000,Shortstop,Los Angeles Dodgers
1993,Eric Karros,435000,First Baseman,Los Angeles Dodgers
1993,Rod Nichols,350000,Pitcher,Los Angeles Dodgers
1993,Steve Wilson,350000,Pitcher,Los Angeles Dodgers
1993,Jose Offerman,300000,Shortstop,Los Angeles Dodgers
1993,Carlos Hernandez,175000,Catcher,Los Angeles Dodgers
1993,Dave Hansen,173000,Third Baseman,Los Angeles Dodgers
1993,Kip Gross,165000,Pitcher,Los Angeles Dodgers
1993,Tom Goodwin,140000,Outfielder,Los Angeles Dodgers
1993,Pedro Astacio,136000,Pitcher,Los Angeles Dodgers
1993,Henry Rodriguez,136000,Outfielder,Los Angeles Dodgers
1993,Don Wakamatsu,135000,Catcher,Los Angeles Dodgers
1993,Mike Piazza,126000,Catcher,Los Angeles Dodgers
1993,Rafael Bournigal,124000,Shortstop,Los Angeles Dodgers
1993,Rick Trlicek,112500,Pitcher,Los Angeles Dodgers
1993,Pedro Chavez,109000,Third Baseman,Los Angeles Dodgers
1993,Raul Mondesi,109000,Outfielder,Los Angeles Dodgers
1993,Will Clark,4750000,First Baseman,San Francisco Giants
1993,Barry Bonds,4416666,Outfielder,San Francisco Giants
1993,Bill Swift,3316667,Pitcher,San Francisco Giants
1993,Willie McGee,2312500,Outfielder,San Francisco Giants
1993,Mike Jackson,2266667,Pitcher,San Francisco Giants
1993,Bud Black,2250000,Pitcher,San Francisco Giants
1993,Dave Righetti,2250000,Pitcher,San Francisco Giants
1993,Matt D. Williams,2250000,Third Baseman,San Francisco Giants
1993,Robby Thompson,1900000,Second Baseman,San Francisco Giants
1993,John Burkett,1550000,Pitcher,San Francisco Giants
1993,Jeff Brantley,1500000,Pitcher,San Francisco Giants
1993,Dave Martinez,1100000,Outfielder,San Francisco Giants
1993,Trevor Wilson,900000,Pitcher,San Francisco Giants
1993,Kirt Manwaring,735000,Catcher,San Francisco Giants
1993,Todd Benzinger,500000,First Baseman,San Francisco Giants
1993,Jeff Reed,325000,Catcher,San Francisco Giants
1993,Mark Carreon,300000,Outfielder,San Francisco Giants
1993,Rod Beck,250000,Pitcher,San Francisco Giants
1993,Bryan Hickerson,187500,Pitcher,San Francisco Giants
1993,Darren Lewis,172500,Outfielder,San Francisco Giants
1993,Royce Clayton,155000,Shortstop,San Francisco Giants
1993,Mike Benjamin,140000,Shortstop,San Francisco Giants
1993,Dave Burba,140000,Pitcher,San Francisco Giants
1993,Andy Allanson,120000,Catcher,San Francisco Giants
1993,John A. Patterson,115000,Second Baseman,San Francisco Giants
1993,Steve Scarsone,115000,Second Baseman,San Francisco Giants
1993,Kevin Rogers,114000,Pitcher,San Francisco Giants
1993,Greg Brummett,109000,Pitcher,San Francisco Giants
1993,Eric Christopherson,109000,Catcher,San Francisco Giants
1993,Rick Huisman,109000,Pitcher,San Francisco Giants
1993,Gino Minutelli,109000,Pitcher,San Francisco Giants
1993,Bob Ojeda,1700000,Pitcher,Cleveland Indians
1993,Albert Belle,1600000,Outfielder,Cleveland Indians
1993,Sandy Alomar Jr.,1300000,Catcher,Cleveland Indians
1993,Carlos Baerga,1200000,Second Baseman,Cleveland Indians
1993,Glenallen Hill,975000,Outfielder,Cleveland Indians
1993,Felix Fermin,950000,Shortstop,Cleveland Indians
1993,Scott Scudder,750000,Pitcher,Cleveland Indians
1993,Derek Lilliquist,725000,Pitcher,Cleveland Indians
1993,Eric Plunk,625000,Pitcher,Cleveland Indians
1993,Dennis Cook,610000,Pitcher,Cleveland Indians
1993,Charles Nagy,541667,Pitcher,Cleveland Indians
1993,Carlos A. Martinez,500000,Third Baseman,Cleveland Indians
1993,Ted Power,450000,Pitcher,Cleveland Indians
1993,Kenny Lofton,425000,Outfielder,Cleveland Indians
1993,Alvaro Espinoza,400000,Shortstop,Cleveland Indians
1993,Mike Bielecki,350000,Pitcher,Cleveland Indians
1993,Paul Sorrento,350000,First Baseman,Cleveland Indians
1993,Junior Ortiz,335000,Catcher,Cleveland Indians
1993,Thomas Howard,325000,Outfielder,Cleveland Indians
1993,Jose Mesa,325000,Pitcher,Cleveland Indians
1993,Jeff Treadway,300000,Third Baseman,Cleveland Indians
1993,Kevin Wickander,145000,Pitcher,Cleveland Indians
1993,Reggie Jefferson,142500,First Baseman,Cleveland Indians
1993,Mark Clark,130000,Pitcher,Cleveland Indians
1993,Mike Christopher,123000,Pitcher,Cleveland Indians
1993,Jeff Mutis,113500,Pitcher,Cleveland Indians
1993,Alan Embree,109000,Pitcher,Cleveland Indians
1993,Tom Kramer,109000,Pitcher,Cleveland Indians
1993,Dave Mlicki,109000,Pitcher,Cleveland Indians
1993,Ken Griffey Jr.,4000000,Outfielder,Seattle Mariners
1993,Edgar Martinez,3016666,Third Baseman,Seattle Mariners
1993,Jay Buhner,2772500,Outfielder,Seattle Mariners
1993,Chris Bosio,2750000,Pitcher,Seattle Mariners
1993,Randy Johnson,2625000,Pitcher,Seattle Mariners
1993,Norm Charlton,2335000,Pitcher,Seattle Mariners
1993,Pete O'Brien,2187500,First Baseman,Seattle Mariners
1993,David Valle,1866667,Catcher,Seattle Mariners
1993,Tim Leary,1800000,Pitcher,Seattle Mariners
1993,Erik Hanson,1250000,Pitcher,Seattle Mariners
1993,Omar Vizquel,1112500,Shortstop,Seattle Mariners
1993,Brian Holman,950000,Pitcher,Seattle Mariners
1993,Henry Cotto,900000,Outfielder,Seattle Mariners
1993,Mike Felder,850000,Outfielder,Seattle Mariners
1993,Mackey Sasser,475000,Catcher,Seattle Mariners
1993,Russ Swan,435000,Pitcher,Seattle Mariners
1993,Dave Fleming,300000,Pitcher,Seattle Mariners
1993,Tino Martinez,287500,First Baseman,Seattle Mariners
1993,Rich Delucia,270000,Pitcher,Seattle Mariners
1993,Greg Litton,200000,Second Baseman,Seattle Mariners
1993,Dennis Powell,175000,Pitcher,Seattle Mariners
1993,Mike Blowers,155000,Third Baseman,Seattle Mariners
1993,Rich Amaral,122500,Shortstop,Seattle Mariners
1993,Bill Haselman,117500,Catcher,Seattle Mariners
1993,Kerry Woodson,117500,Pitcher,Seattle Mariners
1993,Dave Wainhouse,109500,Pitcher,Seattle Mariners
1993,John Cummings,109000,Pitcher,Seattle Mariners
1993,Mike Hampton,109000,Pitcher,Seattle Mariners
1993,Lee Tinsley,109000,Outfielder,Seattle Mariners
1993,Fernando Vina,109000,Second Baseman,Seattle Mariners
1993,Bryan Harvey,4125000,Pitcher,Florida Marlins
1993,Benito Santiago,3400000,Catcher,Florida Marlins
1993,Orestes Destrade,2000000,First Baseman,Florida Marlins
1993,Junior Felix,1250000,Outfielder,Florida Marlins
1993,Jack Armstrong,854545,Pitcher,Florida Marlins
1993,Walt Weiss,825000,Shortstop,Florida Marlins
1993,Charlie Hough,800000,Pitcher,Florida Marlins
1993,Dave Magadan,750000,Third Baseman,Florida Marlins
1993,Cris Carpenter,725000,Pitcher,Florida Marlins
1993,Luis Aquino,685000,Pitcher,Florida Marlins
1993,Jim Corsi,375000,Pitcher,Florida Marlins
1993,Chris Hammond,260000,Pitcher,Florida Marlins
1993,Joe Klink,200000,Pitcher,Florida Marlins
1993,Bob McClure,200000,Pitcher,Florida Marlins
1993,Bret Barberie,190000,Second Baseman,Florida Marlins
1993,Steve Decker,138000,Catcher,Florida Marlins
1993,Monty Fariss,136000,Outfielder,Florida Marlins
1993,Ryan Bowen,132000,Pitcher,Florida Marlins
1993,Scott Chiamparino,126000,Pitcher,Florida Marlins
1993,Jeff Conine,125000,Outfielder,Florida Marlins
1993,Alex Arias,123000,Third Baseman,Florida Marlins
1993,Chuck Carr,123000,Outfielder,Florida Marlins
1993,Greg Briley,109000,Outfielder,Florida Marlins
1993,Trevor Hoffman,109000,Pitcher,Florida Marlins
1993,Richie Lewis,109000,Pitcher,Florida Marlins
1993,Scott Pose,109000,Outfielder,Florida Marlins
1993,Rich Renteria,109000,Second Baseman,Florida Marlins
1993,Kip Yaughn,109000,Pitcher,Florida Marlins
1993,Bobby Bonilla,6200000,Outfielder,New York Mets
1993,Dwight Gooden,5916667,Pitcher,New York Mets
1993,John Franco,4000000,Pitcher,New York Mets
1993,Eddie Murray,3375000,First Baseman,New York Mets
1993,Bret Saberhagen,3000000,Pitcher,New York Mets
1993,Vince Coleman,2312500,Outfielder,New York Mets
1993,Tony Fernandez,2300000,Shortstop,New York Mets
1993,Sid Fernandez,2100000,Pitcher,New York Mets
1993,Howard Johnson,2100000,Third Baseman,New York Mets
1993,Frank Tanana,1500000,Pitcher,New York Mets
1993,Mike Maddux,900000,Pitcher,New York Mets
1993,Jeff Innis,850000,Pitcher,New York Mets
1993,Joe Orsulak,650000,Outfielder,New York Mets
1993,Chico Walker,635000,Outfielder,New York Mets
1993,Charlie O'Brien,500000,Catcher,New York Mets
1993,Dave Gallagher,475000,Outfielder,New York Mets
1993,Pete Schourek,220000,Pitcher,New York Mets
1993,Anthony Young,205000,Pitcher,New York Mets
1993,Paul Gibson,200000,Pitcher,New York Mets
1993,Todd Hundley,195000,Catcher,New York Mets
1993,Jeff Kent,195000,Second Baseman,New York Mets
1993,Darren Reed,158000,Outfielder,New York Mets
1993,Jeff McKnight,145000,First Baseman,New York Mets
1993,Mike Draper,109000,Pitcher,New York Mets
1993,Ryan Thompson,109000,Outfielder,New York Mets
1993,Larry Walker,3000000,Outfielder,Washington Nationals
1993,Dennis Martinez,2833334,Pitcher,Washington Nationals
1993,Ken Hill,2000000,Pitcher,Washington Nationals
1993,Delino DeShields,1537500,Second Baseman,Washington Nationals
1993,Marquis Grissom,1500000,Outfielder,Washington Nationals
1993,Jimmy Jones,400000,Pitcher,Washington Nationals
1993,John Wetteland,315000,Pitcher,Washington Nationals
1993,Chris Nabholz,307500,Pitcher,Washington Nationals
1993,Mel Rojas,300000,Pitcher,Washington Nationals
1993,Moises Alou,210000,Outfielder,Washington Nationals
1993,Jeff Fassero,187500,Pitcher,Washington Nationals
1993,Brian Barnes,182500,Pitcher,Washington Nationals
1993,Mike Gardiner,180000,Pitcher,Washington Nationals
1993,Darrin Fletcher,170000,Catcher,Washington Nationals
1993,John Vander Wal,142500,First Baseman,Washington Nationals
1993,Archi Cianfrocco,130000,First Baseman,Washington Nationals
1993,Wil Cordero,126500,Shortstop,Washington Nationals
1993,Greg Colbrunn,126000,First Baseman,Washington Nationals
1993,Sean Berry,121000,Third Baseman,Washington Nationals
1993,Tim Spehr,115000,Catcher,Washington Nationals
1993,Bruce Walton,115000,Pitcher,Washington Nationals
1993,Kent Bottenfield,113500,Pitcher,Washington Nationals
1993,Tim Laker,113500,Catcher,Washington Nationals
1993,Matt Stairs,110000,Outfielder,Washington Nationals
1993,Frank Bollick,109000,Third Baseman,Washington Nationals
1993,Jack Clark,109000,First Baseman,Washington Nationals
1993,Mike Lansing,109000,Shortstop,Washington Nationals
1993,Joe Siddall,109000,Catcher,Washington Nationals
1993,Ted Wood,109000,Outfielder,Washington Nationals
1993,Cal Ripken Jr.,5100000,Shortstop,Baltimore Orioles
1993,Glenn Davis,3800000,First Baseman,Baltimore Orioles
1993,Mike Devereaux,3025000,Outfielder,Baltimore Orioles
1993,Gregg Olson,2300000,Pitcher,Baltimore Orioles
1993,Rick Sutcliffe,2000000,Pitcher,Baltimore Orioles
1993,Brady Anderson,1855000,Outfielder,Baltimore Orioles
1993,Harold Reynolds,1650000,Second Baseman,Baltimore Orioles
1993,Ben McDonald,1225000,Pitcher,Baltimore Orioles
1993,Harold Baines,1100000,Outfielder,Baltimore Orioles
1993,Todd Frohwirth,900000,Pitcher,Baltimore Orioles
1993,Mike Mussina,425000,Pitcher,Baltimore Orioles
1993,Tim Hulett,400000,Third Baseman,Baltimore Orioles
1993,Chris Hoiles,350000,Catcher,Baltimore Orioles
1993,Mark Williamson,350000,Pitcher,Baltimore Orioles
1993,Leo Gomez,312500,Third Baseman,Baltimore Orioles
1993,Mark McLemore,300000,Outfielder,Baltimore Orioles
1993,Fernando Valenzuela,250000,Pitcher,Baltimore Orioles
1993,Alan Mills,245000,Pitcher,Baltimore Orioles
1993,David Segui,237500,First Baseman,Baltimore Orioles
1993,Mark Parent,215000,Catcher,Baltimore Orioles
1993,Chito Martinez,197500,Outfielder,Baltimore Orioles
1993,Arthur Rhodes,155000,Pitcher,Baltimore Orioles
1993,Jim Poole,150000,Pitcher,Baltimore Orioles
1993,Jeff Tackett,142500,Catcher,Baltimore Orioles
1993,Luis Mercedes,120000,Outfielder,Baltimore Orioles
1993,Sherman Obando,109000,Outfielder,Baltimore Orioles
1993,Fred McGriff,4250000,First Baseman,San Diego Padres
1993,Tony Gwynn,4083333,Outfielder,San Diego Padres
1993,Gary Sheffield,3110000,Third Baseman,San Diego Padres
1993,Bruce Hurst,3000000,Pitcher,San Diego Padres
1993,Andy Benes,2050000,Pitcher,San Diego Padres
1993,Greg W. Harris,2025000,Pitcher,San Diego Padres
1993,Kurt Stillwell,1750000,Second Baseman,San Diego Padres
1993,Tim Teufel,762500,Second Baseman,San Diego Padres
1993,Wally Whitehurst,487500,Pitcher,San Diego Padres
1993,Roger Mason,300000,Pitcher,San Diego Padres
1993,Mike Scioscia,300000,Catcher,San Diego Padres
1993,Rich Rodriguez,265000,Pitcher,San Diego Padres
1993,Phil Plantier,245000,Outfielder,San Diego Padres
1993,Derek Bell,165000,Outfielder,San Diego Padres
1993,Gene Harris,155000,Pitcher,San Diego Padres
1993,Frank Seminara,150000,Pitcher,San Diego Padres
1993,Craig Shipley,149000,Shortstop,San Diego Padres
1993,Dave Eiland,135000,Pitcher,San Diego Padres
1993,Dan Walters,132500,Catcher,San Diego Padres
1993,Bob Geren,125000,Catcher,San Diego Padres
1993,Tim Scott,125000,Pitcher,San Diego Padres
1993,Phil Clark,122500,Outfielder,San Diego Padres
1993,Jeremy Hernandez,122500,Pitcher,San Diego Padres
1993,Jeff Gardner,111500,Third Baseman,San Diego Padres
1993,Pat Gomez,109000,Pitcher,San Diego Padres
1993,Darrell Sherman,109000,Outfielder,San Diego Padres
1993,Kerry Taylor,109000,Pitcher,San Diego Padres
1993,Guillermo Velasquez,109000,First Baseman,San Diego Padres
1993,Mitch Williams,3500000,Pitcher,Philadelphia Phillies
1993,Danny Jackson,2625000,Pitcher,Philadelphia Phillies
1993,Terry Mulholland,2600000,Pitcher,Philadelphia Phillies
1993,Lenny Dykstra,2466667,Outfielder,Philadelphia Phillies
1993,John Kruk,2450000,First Baseman,Philadelphia Phillies
1993,Darren Daulton,2416667,Catcher,Philadelphia Phillies
1993,Mariano Duncan,2000000,Second Baseman,Philadelphia Phillies
1993,Milt Thompson,1375000,Outfielder,Philadelphia Phillies
1993,Pete Incaviglia,1050000,Outfielder,Philadelphia Phillies
1993,Ricky Jordan,1000000,First Baseman,Philadelphia Phillies
1993,Curt Schilling,1000000,Pitcher,Philadelphia Phillies
1993,Larry Andersen,700000,Pitcher,Philadelphia Phillies
1993,Jim Eisenreich,600000,Outfielder,Philadelphia Phillies
1993,Dave Hollins,600000,Third Baseman,Philadelphia Phillies
1993,David West,315000,Pitcher,Philadelphia Phillies
1993,Mickey Morandini,300000,Second Baseman,Philadelphia Phillies
1993,Jose DeLeon,275000,Pitcher,Philadelphia Phillies
1993,Tommy Greene,275000,Pitcher,Philadelphia Phillies
1993,Wes Chamberlain,250000,Outfielder,Philadelphia Phillies
1993,Jose DeJesus,200000,Pitcher,Philadelphia Phillies
1993,Ben Rivera,185000,Pitcher,Philadelphia Phillies
1993,Juan Bell,150000,Shortstop,Philadelphia Phillies
1993,Bob Ayrault,125000,Pitcher,Philadelphia Phillies
1993,Kim Batiste,122500,Shortstop,Philadelphia Phillies
1993,Todd Pratt,122500,Catcher,Philadelphia Phillies
1993,Tyler Green,109000,Pitcher,Philadelphia Phillies
1993,Andy Van Slyke,4850000,Outfielder,Pittsburgh Pirates
1993,Zane Smith,2725000,Pitcher,Pittsburgh Pirates
1993,Jay Bell,2600000,Shortstop,Pittsburgh Pirates
1993,Mike Lavalliere,2350000,Catcher,Pittsburgh Pirates
1993,Bob Walk,2175000,Pitcher,Pittsburgh Pirates
1993,Stan Belinda,1150000,Pitcher,Pittsburgh Pirates
1993,Don Slaught,1066667,Catcher,Pittsburgh Pirates
1993,Lonnie Smith,1000000,Outfielder,Pittsburgh Pirates
1993,John Candelaria,760000,Pitcher,Pittsburgh Pirates
1993,Jeff King,675000,Third Baseman,Pittsburgh Pirates
1993,Alejandro Pena,675000,Pitcher,Pittsburgh Pirates
1993,Lloyd McClendon,650000,Outfielder,Pittsburgh Pirates
1993,Dave Otto,525000,Pitcher,Pittsburgh Pirates
1993,Tom Foley,360000,Second Baseman,Pittsburgh Pirates
1993,Randy Tomlin,325000,Pitcher,Pittsburgh Pirates
1993,Orlando Merced,305000,Outfielder,Pittsburgh Pirates
1993,Dave Clark,180000,Outfielder,Pittsburgh Pirates
1993,Tim Wakefield,150000,Pitcher,Pittsburgh Pirates
1993,Denny Neagle,140000,Pitcher,Pittsburgh Pirates
1993,Carlos Garcia,120000,Second Baseman,Pittsburgh Pirates
1993,Steve Cooke,115000,Pitcher,Pittsburgh Pirates
1993,John Wehner,115000,Outfielder,Pittsburgh Pirates
1993,Blas Minor,112000,Pitcher,Pittsburgh Pirates
1993,Dennis Moeller,112000,Pitcher,Pittsburgh Pirates
1993,Paul Wagner,112000,Pitcher,Pittsburgh Pirates
1993,Al Martin,109000,Outfielder,Pittsburgh Pirates
1993,Kevin Young,109000,First Baseman,Pittsburgh Pirates
1993,Jose Canseco,4800000,Outfielder,Texas Rangers
1993,Rafael Palmeiro,4550000,First Baseman,Texas Rangers
1993,Nolan Ryan,3757000,Pitcher,Texas Rangers
1993,Tom Henke,3752625,Pitcher,Texas Rangers
1993,Julio Franco,3000000,Second Baseman,Texas Rangers
1993,Charlie Leibrandt,2833334,Pitcher,Texas Rangers
1993,Kevin J. Brown,2800000,Pitcher,Texas Rangers
1993,Manuel Lee,1900000,Shortstop,Texas Rangers
1993,Craig Lefferts,1100000,Pitcher,Texas Rangers
1993,Kenny Rogers,1000000,Pitcher,Texas Rangers
1993,Bob Patterson,750000,Pitcher,Texas Rangers
1993,Geno Petralli,650000,Catcher,Texas Rangers
1993,Todd Burns,575000,Pitcher,Texas Rangers
1993,Juan Gonzalez,525000,Outfielder,Texas Rangers
1993,Gary Redus,500000,Outfielder,Texas Rangers
1993,Doug Dascenzo,450000,Outfielder,Texas Rangers
1993,Jeff Huson,300000,Shortstop,Texas Rangers
1993,Ivan Rodriguez,275000,Catcher,Texas Rangers
1993,Dean Palmer,250000,Third Baseman,Texas Rangers
1993,Billy Ripken,200000,Second Baseman,Texas Rangers
1993,John Russell,170000,Catcher,Texas Rangers
1993,Brian Bohanon,130000,Pitcher,Texas Rangers
1993,Butch Davis,130000,Outfielder,Texas Rangers
1993,Doug Strange,125000,Second Baseman,Texas Rangers
1993,David Hulse,120000,Outfielder,Texas Rangers
1993,Matt Whiteside,120000,Pitcher,Texas Rangers
1993,Jeff Frye,115000,Second Baseman,Texas Rangers
1993,Hector Fajardo,110000,Pitcher,Texas Rangers
1993,Benji Gil,109000,Shortstop,Texas Rangers
1993,Barry Manuel,109000,Pitcher,Texas Rangers
1993,Rob Maurer,109000,First Baseman,Texas Rangers
1993,Robb Nen,109000,Pitcher,Texas Rangers
1993,Dan Peltier,109000,Outfielder,Texas Rangers
1993,Dan Smith,109000,Pitcher,Texas Rangers
1993,Barry Larkin,5700000,Shortstop,Cincinnati Reds
1993,Bip Roberts,3900000,Second Baseman,Cincinnati Reds
1993,Tim Belcher,3750000,Pitcher,Cincinnati Reds
1993,Kevin Mitchell,3750000,Outfielder,Cincinnati Reds
1993,Jose Rijo,3583334,Pitcher,Cincinnati Reds
1993,John Smiley,3475000,Pitcher,Cincinnati Reds
1993,Roberto Kelly,3133333,Outfielder,Cincinnati Reds
1993,Chris Sabo,3100000,Third Baseman,Cincinnati Reds
1993,Rob Dibble,2500000,Pitcher,Cincinnati Reds
1993,Tom Browning,2250000,Pitcher,Cincinnati Reds
1993,Hal Morris,1275000,First Baseman,Cincinnati Reds
1993,Joe Oliver,1200000,Catcher,Cincinnati Reds
1993,Greg Cadaret,1190000,Pitcher,Cincinnati Reds
1993,Juan Samuel,700000,Second Baseman,Cincinnati Reds
1993,Jeff Reardon,500000,Pitcher,Cincinnati Reds
1993,Randy Milligan,475000,First Baseman,Cincinnati Reds
